sampleId	seedInit	solverName	signifDigits	piHat	OFtol	error	isCensored	numThrows	runtime
314	24853	Needles_3	5	3.1416	5e-06	4.58843064122e-06	False	6869	3.8282
315	51294	Needles_3	5	3.14159	5e-06	2.08022668469e-06	False	275	0.1608
316	41513	Needles_3	5	3.1416	5e-06	4.33172788261e-06	False	3572	2.0314
317	61657	Needles_3	5	3.1416	5e-06	3.47617687613e-06	False	1374	0.7477
318	41692	Needles_3	5	3.14159	5e-06	2.08022668469e-06	False	275	0.1521
319	1058	Needles_3	5	3.14159	5e-06	2.08022668469e-06	False	550	0.3071
320	33423	Needles_3	5	3.14159	5e-06	2.08022668469e-06	False	825	0.4529
321	53526	Needles_3	5	3.14159	5e-06	2.08022668469e-06	False	825	0.46
322	34605	Needles_3	5	3.14159	5e-06	2.08022668469e-06	False	275	0.152
323	9596	Needles_3	5	3.14159	5e-06	2.08022668469e-06	False	550	0.2993
324	44968	Needles_3	5	3.14159	5e-06	2.08022668469e-06	False	275	0.1534
325	13914	Needles_3	5	3.14159	5e-06	2.08022668469e-06	False	275	0.1532
326	14900	Needles_3	5	3.14159	5e-06	2.08022668469e-06	False	825	0.4636
327	60681	Needles_3	5	3.14159	5e-06	2.08022668469e-06	False	275	0.1532
328	51603	Needles_3	5	3.14159	5e-06	2.08022668469e-06	False	275	0.1541
329	6120	Needles_3	5	3.14159	5e-06	2.08022668469e-06	False	275	0.1527
330	10565	Needles_3	5	3.14159	5e-06	2.08022668469e-06	False	825	0.4604
331	37302	Needles_3	5	3.14159	5e-06	2.08022668469e-06	False	275	0.1564
332	47487	Needles_3	5	3.14159	5e-06	2.08022668469e-06	False	275	0.1499
333	10266	Needles_3	5	3.14159	5e-06	2.08022668469e-06	False	550	0.3059
334	65187	Needles_3	5	3.14159	5e-06	2.08022668469e-06	False	275	0.2077
335	40360	Needles_3	5	3.1416	5e-06	4.86654480891e-06	False	2198	1.2012
336	6580	Needles_3	5	3.14159	5e-06	2.08022668469e-06	False	550	0.3015
337	30434	Needles_3	5	3.1416	5e-06	3.47617687613e-06	False	1374	0.7927
338	37163	Needles_3	5	3.1416	5e-06	4.19372279348e-06	False	8518	4.6807
339	19319	Needles_3	5	3.14159	5e-06	2.08022668469e-06	False	275	0.1541
340	36503	Needles_3	5	3.14159	5e-06	2.08022668469e-06	False	275	0.1478
341	62080	Needles_3	5	3.14159	5e-06	2.08022668469e-06	False	275	0.1509
342	1678	Needles_3	5	3.1416	5e-06	4.09405555857e-06	False	2473	1.3583
